t_ns,id,duration_ns
2027313,step.compute,775489
2082227,step.service,831605
208908567,step.compute,157941
208912884,step.service,163230
1094189205,step.compute,154394
1094193913,step.service,160305
1157479884,step.compute,284969
1157484792,step.service,291139
1157799131,step.compute,169841
1157802076,step.service,173327
1158070997,step.compute,162118
1158073721,step.service,165193
1182078185,step.compute,159102
1182083364,step.service,165975
1198472051,step.compute,335835
1198481417,step.service,348918
1217836185,step.compute,166616
1217841635,step.service,173918
1234489135,step.compute,277956
1234494664,step.service,284708
1260004748,step.compute,351782
1260012872,step.service,361129
1284694826,step.compute,324395
1284701037,step.service,331699
1301437249,step.compute,269592
1301460409,step.service,296417
1318055129,step.compute,280640
1318060258,step.service,287182
1334814320,step.compute,358835
1334821583,step.service,368230
1367626744,step.compute,188694
1367632795,step.service,196106
1384398097,step.compute,322502
1384404387,step.service,331278
1400786202,step.compute,186339
1400790971,step.service,192419
1417649833,step.compute,176513
1417655974,step.service,184035
1434812776,step.compute,350841
1434823174,step.service,362851
1458691936,step.compute,232889
1458696884,step.service,240352
1485801850,step.compute,190055
1485808461,step.service,198711
1502841151,step.compute,272737
1502847522,step.service,338901
1519662760,step.compute,194504
1519667768,step.service,200984
1535985584,step.compute,343168
1535993197,step.service,353256
1569386025,step.compute,208297
1569393438,step.service,218034
1585818717,step.compute,182312
1585823786,step.service,189565
1602551383,step.compute,389858
1602557464,step.service,397240
1618576678,step.compute,363172
1618583299,step.service,373419
1635201399,step.compute,372989
1635208040,step.service,382045
1659607882,step.compute,236355
1659613962,step.service,243868
1684196056,step.compute,168999
1684201265,step.service,175310
1701104173,step.compute,176302
1701109602,step.service,183925
1718030561,step.compute,287883
1718037092,step.service,361429
1734323854,step.compute,305223
1734330435,step.service,312866
1767284672,step.compute,246302
1767290251,step.service,253003
1784098567,step.compute,199692
1784103816,step.service,207065
1800541016,step.compute,285830
1800546145,step.service,292370
1817383440,step.compute,184766
1817390152,step.service,192670
1834513177,step.compute,347485
1834518947,step.service,355349
1873978528,step.compute,162348
1873983467,step.service,169631
1884710364,step.compute,314929
1884715603,step.service,322202
1900532189,step.compute,184806
1900537669,step.service,191589
1917650516,step.compute,296478
1917655886,step.service,303560
1950748329,step.compute,261218
1950753668,step.service,268941
1968856051,step.compute,304552
1968861390,step.service,311403
1985377044,step.compute,269142
1985382553,step.service,275943
2001740286,step.compute,171033
2001746076,step.service,179077
2018595412,step.compute,226488
2018602384,step.service,236465
2034947515,step.compute,257802
2034953666,step.service,311984
2075092219,step.compute,227109
2075097318,step.service,233670
2075455992,step.compute,177665
2075458927,step.service,181010
2101528338,step.compute,217522
2101534188,step.service,225686
2118374628,step.compute,183875
2118380608,step.service,191589
2135409421,step.compute,338280
2135414890,step.service,345081
2168085139,step.compute,169220
2168090939,step.service,176493
2185061893,step.compute,336877
2185068154,step.service,345722
2201833736,step.compute,227109
2201839816,step.service,235122
2218228392,step.compute,319718
2218237317,step.service,330125
2235281376,step.compute,335234
2235289811,step.service,344761
2268246500,step.compute,292471
2268256067,step.service,303530
2291732746,step.compute,156789
2291737774,step.service,163009
2302495714,step.compute,275442
2302501564,step.service,282544
2319332178,step.compute,342898
2319337607,step.service,350620
2335395216,step.compute,330766
2335400765,step.service,339752
2368491204,step.compute,296628
2368496754,step.service,303720
2384328195,step.compute,198040
2384379393,step.service,251380
2401502788,step.compute,270934
2401509229,step.service,278547
2418424207,step.compute,299743
2418429676,step.service,307467
2434793259,step.compute,240853
2434798578,step.service,247594
2469124975,step.compute,362541
2469130484,step.service,370384
2492029513,step.compute,233320
2492034612,step.service,239791
2502192364,step.compute,193822
2502198003,step.service,201806
2518728563,step.compute,340373
2518734603,step.service,396289
2535219724,step.compute,276263
2535226155,step.service,284047
2568208689,step.compute,187090
2568215030,step.service,195545
2585024768,step.compute,290047
2585030978,step.service,298331
2601892474,step.compute,209479
2601898645,step.service,216992
2618762385,step.compute,189534
2618768456,step.service,197218
2647746108,step.compute,383677
2647752269,step.service,392032
2670897630,step.compute,268871
2670903460,step.service,276834
2692971356,step.compute,230825
2692976705,step.service,237386
2702737016,step.compute,169390
2702742696,step.service,176352
2718819888,step.compute,175480
2718825167,step.service,182603
2735605625,step.compute,569405
2735617866,step.service,584090
2768863941,step.compute,216711
2768869030,step.service,225196
2784955308,step.compute,194673
2784961328,step.service,202407
2801672767,step.compute,175421
2801678487,step.service,182653
2818281460,step.compute,214287
2818287290,step.service,222902
2835077975,step.compute,219896
2835084767,step.service,229573
2868310447,step.compute,193070
2868316668,step.service,201095
2885928890,step.compute,365937
2885937435,step.service,377156
2907981970,step.compute,161526
2907987069,step.service,167958
2918933111,step.compute,196016
2918938681,step.service,203077
2935198386,step.compute,162248
2935203575,step.service,168399
2968713833,step.compute,190136
2968722007,step.service,200043
2984376866,step.compute,170001
2984382706,step.service,177804
3001165276,step.compute,186379
3001171937,step.service,194734
3017896398,step.compute,191868
3017903580,step.service,201044
3035137414,step.compute,344420
3035144085,step.service,352614
3067558595,step.compute,182642
3067565056,step.service,191027
3084585594,step.compute,187852
3084590833,step.service,194653
3101186423,step.compute,180960
3101194357,step.service,190847
3124740604,step.compute,176833
3124745723,step.service,183304
3134961423,step.compute,180279
3134969277,step.service,190927
3168598337,step.compute,191398
3168603586,step.service,198550
3186109205,step.compute,288745
3186118140,step.service,299873
3202772481,step.compute,170462
3202777870,step.service,177194
3217906587,step.compute,167537
3217911866,step.service,175029
3234859199,step.compute,175801
3234864378,step.service,182813
3267937836,step.compute,172105
3267945419,step.service,181631
3284589061,step.compute,195525
3284596123,step.service,203840
3301033112,step.compute,172295
3301039102,step.service,180018
3317883939,step.compute,163581
3317889559,step.service,170983
3341423675,step.compute,162668
3341428814,step.service,169480
3368469778,step.compute,225396
3368477000,step.service,234873
3384236378,step.compute,168028
3384243160,step.service,176773
3401103323,step.compute,172175
3401109644,step.service,179948
3418173436,step.compute,180459
3418179105,step.service,187822
3435169562,step.compute,238128
3435176324,step.service,248045
3468218909,step.compute,172255
3468225100,step.service,180329
3484496534,step.compute,197939
3484504759,step.service,208497
3500887304,step.compute,176352
3500893164,step.service,184496
3517913411,step.compute,253083
3517920463,step.service,262409
3541333833,step.compute,165885
3541339002,step.service,172786
3567754344,step.compute,210250
3567761697,step.service,219035
3584991834,step.compute,166184
3584997183,step.service,173086
3601015324,step.compute,227790
3601023227,step.service,239079
3617744823,step.compute,185417
3617752376,step.service,195364
3635701605,step.compute,1023684
3635731156,step.service,1053995
3668642797,step.compute,205913
3668649418,step.service,214768
3684836729,step.compute,194072
3684841918,step.service,201084
3701099208,step.compute,205031
3701107582,step.service,215209
3717698745,step.compute,167087
3717708351,step.service,178807
3734305875,step.compute,174599
3734312456,step.service,184355
3758196131,step.compute,184736
3758201390,step.service,191298
3784484216,step.compute,201726
3784492390,step.service,211713
3800929999,step.compute,173617
3800935839,step.service,180849
3817639334,step.compute,215119
3817645154,step.service,222671
3834192691,step.compute,196446
3834198461,step.service,203479
3868088379,step.compute,225586
3868094128,step.service,233561
3883987576,step.compute,164923
3883993866,step.service,173237
3901189174,step.compute,186950
3901195144,step.service,194513
3918521977,step.compute,233440
3918527516,step.service,241764
3933946571,step.compute,169330
3933951940,step.service,176552
3974502147,step.compute,229293
3974507686,step.service,236324
3974835177,step.compute,181071
3974838813,step.service,184997
4001708824,step.compute,185779
4001716066,step.service,194823
4018476698,step.compute,206384
4018482608,step.service,214598
4035232221,step.compute,170953
4035237791,step.service,177894
4068469008,step.compute,224435
4068475449,step.service,232639
4084907699,step.compute,213035
4084914410,step.service,221159
4101857746,step.compute,163069
4101862944,step.service,170552
4119142476,step.compute,179027
4119147855,step.service,185908
4135591804,step.compute,209759
4135599568,step.service,218775
4174959985,step.compute,167377
4174964693,step.service,173427
4175216013,step.compute,119966
4175218838,step.service,123411
4201499148,step.compute,222020
4201506461,step.service,231637
4218110445,step.compute,187732
4218117156,step.service,196136
4235254223,step.compute,168779
4235260975,step.service,176963
4268081879,step.compute,194053
4268088340,step.service,203408
4284921587,step.compute,164311
4284926956,step.service,170953
4301740589,step.compute,174760
4301745307,step.service,181140
4318176164,step.compute,212454
4318181423,step.service,220057
4335920652,step.compute,182964
4335926181,step.service,190897
4374370098,step.compute,173497
4374375067,step.service,179728
4374654666,step.compute,128720
4374683175,step.service,157560
4401054631,step.compute,163480
4401060270,step.service,170582
4417913441,step.compute,180709
4417919291,step.service,189044
4434386240,step.compute,206414
4434392391,step.service,214417
4468219559,step.compute,161777
4468225188,step.service,168599
4484916572,step.compute,193842
4484922051,step.service,201345
4501169214,step.compute,178105
4501174072,step.service,184727
4518248241,step.compute,188703
4518253160,step.service,195184
4534921875,step.compute,481645
4534938683,step.service,500567
4568254416,step.compute,183785
4568260586,step.service,191678
4592019978,step.compute,173697
4592025617,step.service,181381
4602117105,step.compute,197569
4602122744,step.service,204601
4617615775,step.compute,229142
4617621234,step.service,236706
4646381012,step.compute,224404
4646386772,step.service,231927
4670029694,step.compute,171664
4670034222,step.service,177865
4699602173,step.compute,191518
4699608184,step.service,198800
4699872016,step.compute,120296
4699874931,step.service,123642
4716341509,step.compute,201615
4716346718,step.service,208718
4749087836,step.compute,185167
4749094247,step.service,194102
4766024079,step.compute,190366
4766031231,step.service,200523
4783513700,step.compute,213556
4783520241,step.service,222090
4806391381,step.compute,207366
4806396860,step.service,214037
4816975833,step.compute,189385
4816982003,step.service,197408
4849206556,step.compute,161416
4849211875,step.service,168018
4866210024,step.compute,162158
4866214692,step.service,167958
4882592599,step.compute,187421
4882598138,step.service,194163
4899219933,step.compute,191357
4899226414,step.service,200573
4916362729,step.compute,173707
4916369541,step.service,183684
4949152701,step.compute,181120
4949159332,step.service,189385
4965728797,step.compute,231857
4965736029,step.service,241754
4982119605,step.compute,168569
4982124924,step.service,175711
4999094003,step.compute,186540
4999099362,step.service,192950
5022481246,step.compute,179237
5022486836,step.service,186239
5049233063,step.compute,214167
5049238402,step.service,220908
5065413611,step.compute,203469
5065419370,step.service,211242
5082562657,step.compute,201846
5082568828,step.service,209990
5099040865,step.compute,169060
5099046294,step.service,176172
5115757521,step.compute,182853
5115762861,step.service,189324
5149278654,step.compute,172426
5149283933,step.service,179758
5165732530,step.compute,195054
5165739562,step.service,204420
5182780073,step.compute,180449
5182787175,step.service,190006
5199241933,step.compute,188052
5199250988,step.service,199952
5222777600,step.compute,162839
5222782779,step.service,169691
5249448318,step.compute,172615
5249457684,step.service,192099
5265494005,step.compute,187631
5265499585,step.service,194423
5282437941,step.compute,168539
5282453998,step.service,185858
5299332622,step.compute,198189
5299339113,step.service,207716
5315430037,step.compute,173758
5315435517,step.service,180429
5348791226,step.compute,180119
5348796525,step.service,186500
5366227234,step.compute,174218
5366233635,step.service,183194
5382427977,step.compute,197047
5382432875,step.service,205933
5398548862,step.compute,183444
5398554722,step.service,190647
5415611762,step.compute,185768
5415617512,step.service,192970
5438592468,step.compute,316142
5438598749,step.service,323885
5466131634,step.compute,193442
5466137584,step.service,201015
5482352701,step.compute,162508
5482357469,step.service,168368
5499160253,step.compute,219867
5499166283,step.service,227670
5515772911,step.compute,207316
5515780123,step.service,217443
5548855272,step.compute,164702
5548860501,step.service,171544
5565119593,step.compute,168488
5565124452,step.service,175300
5582042082,step.compute,177243
5582049294,step.service,185748
5599018543,step.compute,160775
5599023382,step.service,167307
5615741170,step.compute,167196
5615746699,step.service,175010
5638437780,step.compute,161747
5638460348,step.service,185698
5665271106,step.compute,173277
5665276225,step.service,179878
5682984870,step.compute,179418
5682990209,step.service,186179
5700084122,step.compute,166135
5700089982,step.service,173827
5715580898,step.compute,218193
5715586488,step.service,226187
5749222347,step.compute,163260
5749228167,step.service,170332
5765425323,step.compute,188232
5765431905,step.service,196897
5782232284,step.compute,164092
5782237483,step.service,171414
5798932833,step.compute,195856
5798939184,step.service,203789
5815679981,step.compute,180419
5815685621,step.service,188112
5839557764,step.compute,187801
5839562853,step.service,193993
5865601488,step.compute,188814
5865607709,step.service,196897
5882319847,step.compute,162979
5882324966,step.service,169350
5898812530,step.compute,180199
5898819903,step.service,190146
