t_ns,id,duration_ns
608401900,step.socket.send,70700
3997128600,step.socket.parse,31719600
3997128600,step.socket.wait,3391576500
3998617400,step.unity.apply,680400
3998617400,step.unity.e2e,3393065300
3998788800,step.socket.send,76000
4164439700,step.socket.parse,437500
4164439700,step.socket.wait,165800400
4164757500,step.unity.apply,291700
4164757500,step.unity.e2e,166118200
4164849800,step.socket.send,12300
4363959600,step.socket.parse,422100
4363959600,step.socket.wait,199193800
4364225400,step.unity.apply,40300
4364225400,step.unity.e2e,199459600
4364299200,step.socket.send,9400
4563881100,step.socket.parse,562400
4563881100,step.socket.wait,199649800
4563953000,step.unity.apply,41300
4563953000,step.unity.e2e,199721700
4564049000,step.socket.send,13200
4751118100,step.socket.parse,395100
4751118100,step.socket.wait,187155600
4751191000,step.unity.apply,47200
4751191000,step.unity.e2e,187228500
4751264300,step.socket.send,8900
4950920400,step.socket.parse,441500
4950920400,step.socket.wait,199719400
4951002300,step.unity.apply,50100
4951002300,step.unity.e2e,199801300
4951124300,step.socket.send,13800
5151511300,step.socket.parse,445200
5151511300,step.socket.wait,200459900
5151574900,step.unity.apply,36700
5151574900,step.unity.e2e,200523500
5151652400,step.socket.send,9800
5351719200,step.socket.parse,585400
5351719200,step.socket.wait,200136900
5351790500,step.unity.apply,42400
5351790500,step.unity.e2e,200208200
5351877000,step.socket.send,12400
5551188100,step.socket.parse,459900
5551188100,step.socket.wait,199387900
5551258000,step.unity.apply,41200
5551258000,step.unity.e2e,199457800
5551338500,step.socket.send,9900
5755528700,step.socket.parse,514900
5755528700,step.socket.wait,204263300
5755600700,step.unity.apply,42300
5755600700,step.unity.e2e,204335300
5755693900,step.socket.send,13900
5956370300,step.socket.parse,474600
5956370300,step.socket.wait,200760100
5956438700,step.unity.apply,38600
5956438700,step.unity.e2e,200828500
5956511200,step.socket.send,8800
6156282800,step.socket.parse,443000
6156282800,step.socket.wait,199837400
6156358200,step.unity.apply,36300
6156358200,step.unity.e2e,199912800
6156444300,step.socket.send,9400
6355290100,step.socket.parse,412400
6355290100,step.socket.wait,198917600
6355338100,step.unity.apply,28500
6355338100,step.unity.e2e,198965600
6355404100,step.socket.send,9300
6555658500,step.socket.parse,361900
6555658500,step.socket.wait,200314400
6555716200,step.unity.apply,32100
6555716200,step.unity.e2e,200372100
6555778600,step.socket.send,8300
6757821600,step.socket.parse,427700
6757821600,step.socket.wait,202099100
6757885600,step.unity.apply,37200
6757885600,step.unity.e2e,202163100
6757958200,step.socket.send,8500
6959385900,step.socket.parse,541600
6959385900,step.socket.wait,201494300
6959455800,step.unity.apply,39000
6959455800,step.unity.e2e,201564200
6959539100,step.socket.send,11600
7165679800,step.socket.parse,390700
7165679800,step.socket.wait,206215700
7165734200,step.unity.apply,26800
7165734200,step.unity.e2e,206270100
7165790200,step.socket.send,8600
7359322000,step.socket.parse,682400
7359322000,step.socket.wait,193581900
7359394400,step.unity.apply,40700
7359394400,step.unity.e2e,193654300
7359497300,step.socket.send,15800
7559232100,step.socket.parse,555700
7559232100,step.socket.wait,199826500
7559311800,step.unity.apply,46600
7559311800,step.unity.e2e,199906200
7559395200,step.socket.send,11900
7759734600,step.socket.parse,479200
7759734600,step.socket.wait,200414600
7759804100,step.unity.apply,40800
7759804100,step.unity.e2e,200484100
7759889200,step.socket.send,9900
7961503300,step.socket.parse,554000
7961503300,step.socket.wait,201686700
7961576200,step.unity.apply,43400
7961576200,step.unity.e2e,201759600
7961660300,step.socket.send,11400
8159992500,step.socket.parse,450700
8159992500,step.socket.wait,198407400
8160055400,step.unity.apply,32200
8160055400,step.unity.e2e,198470300
8160126100,step.socket.send,8200
8359464900,step.socket.parse,495200
8359464900,step.socket.wait,199396400
8359535700,step.unity.apply,36500
8359535700,step.unity.e2e,199467200
8359627300,step.socket.send,10300
8560078200,step.socket.parse,447600
8560078200,step.socket.wait,200523700
8560139500,step.unity.apply,36200
8560139500,step.unity.e2e,200585000
8560227100,step.socket.send,9600
8761019200,step.socket.parse,450800
8761019200,step.socket.wait,200873700
8761079500,step.unity.apply,32800
8761079500,step.unity.e2e,200934000
8761145000,step.socket.send,8500
8959075100,step.socket.parse,405700
8959075100,step.socket.wait,197989000
8959122800,step.unity.apply,28100
8959122800,step.unity.e2e,198036700
8959210000,step.socket.send,11400
9159674200,step.socket.parse,384300
9159674200,step.socket.wait,200540400
9159720400,step.unity.apply,27400
9159720400,step.unity.e2e,200586600
9159787800,step.socket.send,9000
9359036600,step.socket.parse,397300
9359036600,step.socket.wait,199310000
9359086200,step.unity.apply,26000
9359086200,step.unity.e2e,199359600
9359163000,step.socket.send,20400
9560637300,step.socket.parse,462600
9560637300,step.socket.wait,201545700
9560689600,step.unity.apply,32800
9560689600,step.unity.e2e,201598000
9560868100,step.socket.send,8300
9760610400,step.socket.parse,470300
9760610400,step.socket.wait,199803700
9760691000,step.unity.apply,54200
9760691000,step.unity.e2e,199884300
9760781100,step.socket.send,9700
9959959300,step.socket.parse,463800
9959959300,step.socket.wait,199260000
9960024600,step.unity.apply,36500
9960024600,step.unity.e2e,199325300
9960115700,step.socket.send,10500
10160403800,step.socket.parse,426500
10160403800,step.socket.wait,200370000
10160465900,step.unity.apply,36000
10160465900,step.unity.e2e,200432100
10160528300,step.socket.send,7900
10360762000,step.socket.parse,365600
10360762000,step.socket.wait,200289600
10360810500,step.unity.apply,29500
10360810500,step.unity.e2e,200338100
